[texto1] [polícia=homem] [ser]
[polícia=homem] [ser] [matar]
[ser] [matar] [em]
[matar] [em] [parque=da=redenção]
[em] [parque=da=redenção] [em]
[parque=da=redenção] [em] [porto=alegre]
[em] [porto=alegre] [polícia=civil]
[porto=alegre] [polícia=civil] [investigar]
[polícia=civil] [investigar] [motivo]
[investigar] [motivo] [de]
[motivo] [de] [crime]
[de] [crime] [ocorrer]
[crime] [ocorrer] [em]
[ocorrer] [em] [madrugada]
[em] [madrugada] [de]
[madrugada] [de] [domingo]
[de] [domingo] [jorge=luciano=soares=de=oliveira]
[domingo] [jorge=luciano=soares=de=oliveira] [ano]
[jorge=luciano=soares=de=oliveira] [ano] [ser]
[ano] [ser] [assassinar]
[ser] [assassinar] [em]
[assassinar] [em] [parque=da=redenção]
[em] [parque=da=redenção] [em]
[parque=da=redenção] [em] [porto=alegre]
[em] [porto=alegre] [por=volta=de]
[porto=alegre] [por=volta=de] [min]
[por=volta=de] [min] [de]
[min] [de] [madrugada]
[de] [madrugada] [segundo]
[madrugada] [segundo] [brigada=militar]
[segundo] [brigada=militar] [policial]
[brigada=militar] [policial] [encontrar]
[policial] [encontrar] [vítima]
[encontrar] [vítima] [agonizar]
[vítima] [agonizar] [em]
[agonizar] [em] [parque]
[em] [parque] [em]
[parque] [em] [proximidade]
[em] [proximidade] [de]
[proximidade] [de] [rua=josé=bonifácio]
[de] [rua=josé=bonifácio] [jorge=luciano]
[rua=josé=bonifácio] [jorge=luciano] [apresentar]
[jorge=luciano] [apresentar] [sinal]
[apresentar] [sinal] [de]
[sinal] [de] [agressão]
[de] [agressão] [em]
[agressão] [em] [rosto]
[em] [rosto] [objeto]
[rosto] [objeto] [sólido]
[objeto] [sólido] [ter]
[sólido] [ter] [ser]
[ter] [ser] [usar]
[ser] [usar] [para]
[usar] [para] [afundar]
[para] [afundar] [face]
[afundar] [face] [de]
[face] [de] [jorge=luciano]
[de] [jorge=luciano] [morrer]
[jorge=luciano] [morrer] [em]
[morrer] [em] [local]
[em] [local] [polícia=civil]
[local] [polícia=civil] [investigar]
[polícia=civil] [investigar] [motivo]
[investigar] [motivo] [de]
[motivo] [de] [crime]

[texto2] [preso] [homem]
[preso] [homem] [morto]
[homem] [morto] [durante]
[morto] [durante] [operação]
[durante] [operação] [em]
[operação] [em] [região=metropolitana]
[em] [região=metropolitana] [ser]
[região=metropolitana] [ser] [apontar]
[ser] [apontar] [como]
[apontar] [como] [matador]
[como] [matador] [de]
[matador] [de] [quadrilha]
[de] [quadrilha] [plínio=césar=ribeiro]
[quadrilha] [plínio=césar=ribeiro] [formiga]
[plínio=césar=ribeiro] [formiga] [ano]
[formiga] [ano] [receber]
[ano] [receber] [policial]
[receber] [policial] [a]
[policial] [a] [tiro]
[a] [tiro] [em]
[tiro] [em] [bairro=são=sebastião]
[em] [bairro=são=sebastião] [em]
[bairro=são=sebastião] [em] [zona]
[em] [zona] [norte]
[zona] [norte] [eduardo=torres]
[norte] [eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[eduardo=torres] [eduardo.torres@diariogaucho.com.br] [a=operação=matrix]
[eduardo.torres@diariogaucho.com.br] [a=operação=matrix] [fechar]
[a=operação=matrix] [fechar] [com]
[fechar] [com] [mulher]
[com] [mulher] [homem]
[mulher] [homem] [prender]
[homem] [prender] [preventivo]
[prender] [preventivo] [envolver]
[preventivo] [envolver] [com]
[envolver] [com] [tráfico]
[com] [tráfico] [de]
[tráfico] [de] [droga]
[de] [droga] [em]
[droga] [em] [boca]
[em] [boca] [de]
[boca] [de] [fumo]
[de] [fumo] [de]
[fumo] [de] [cachoeirinha]
[de] [cachoeirinha] [gravataí]
[cachoeirinha] [gravataí] [ser]
[gravataí] [ser] [apreender]
[ser] [apreender] [pistola]
[apreender] [pistola] [revólver]
[pistola] [revólver] [calibre]
[revólver] [calibre] [além=de]
[calibre] [além=de] [pequeno]
[além=de] [pequeno] [quantidade]
[pequeno] [quantidade] [de]
[quantidade] [de] [crack]
[de] [crack] [cocaína]
[crack] [cocaína] [carro]
[cocaína] [carro] [moto]
[carro] [moto] [usar]
[moto] [usar] [por]
[usar] [por] [criminoso]
[por] [criminoso] [para]
[criminoso] [para] [entregar]
[para] [entregar] [de]
[entregar] [de] [droga]
[de] [droga] [em]
[droga] [em] [região]
[em] [região] [plínio=césar=ribeiro]
[região] [plínio=césar=ribeiro] [formiga]
[plínio=césar=ribeiro] [formiga] [ano]
[formiga] [ano] [ser]
[ano] [ser] [apontar]
[ser] [apontar] [por]
[apontar] [por] [polícia]
[por] [polícia] [como]
[polícia] [como] [matador]
[como] [matador] [de]
[matador] [de] [quadrilha]
[de] [quadrilha] [suspeitar]
[quadrilha] [suspeitar] [por]
[suspeitar] [por] [pelo=menos]
[por] [pelo=menos] [homicídio]
[pelo=menos] [homicídio] [entre]
[homicídio] [entre] [cachoeirinha]
[entre] [cachoeirinha] [gravataí]
[cachoeirinha] [gravataí] [desde]
[gravataí] [desde] [ano]
[desde] [ano] [passado]
[ano] [passado] [caber]
[passado] [caber] [a]
[caber] [a] [eliminar]
[a] [eliminar] [desafeto]
[eliminar] [desafeto] [devedor]
[desafeto] [devedor] [rival]
[devedor] [rival] [de]
[rival] [de] [bando]
[de] [bando] [em]
[bando] [em] [disputa]
[em] [disputa] [por]
[disputa] [por] [ponto]
[por] [ponto] [de]
[ponto] [de] [tráfico]
[de] [tráfico] [por=volta=de]
[tráfico] [por=volta=de] [receber]
[por=volta=de] [receber] [agente]
[receber] [agente] [a]
[agente] [a] [tiro]
[a] [tiro] [em]
[tiro] [em] [apartamento]
[em] [apartamento] [de]
